,news,prom,total,userID,user_express,category
807,31,9,89,1420660507,49,2
808,1,2,16,4163564352,13,2
809,0,0,1,1865592246,1,2
810,1,0,2,46315401,1,0
811,1,6,11,21693716,4,1
812,2,2,15,9783422,11,2
813,0,0,4,40547789,4,2
814,1,0,2,43191256,1,0
815,4,6,35,108679657,25,2
816,2,1,15,2439000217,12,2
817,3,3,16,49778192,10,2
818,11,7,45,17983057,27,2
819,1,1,6,76751408,4,2
820,46,35,161,786933069861249024,80,2
821,2,0,11,233650345,9,2
822,0,0,7,14450603,7,2
823,6,5,19,16334139,8,2
824,5,6,38,2483410144,27,2
825,1,0,7,979336598,6,2
826,0,0,3,217558871,3,2
827,51,0,51,15315570,0,0
828,1,2,3,4281166157,0,1
829,0,0,2,278411837,2,2
830,2,0,21,788027195939749888,19,2
831,2,1,8,3286870878,5,2
832,37,17,104,790019230389248000,50,2
833,1,0,3,25004049,2,2
834,0,1,8,212080180,7,2
835,0,0,1,855970824,1,2
836,0,0,4,16833205,4,2
837,3,0,7,13657922,4,2
838,0,0,1,2908421505,1,2
839,4,2,11,2423833190,5,2
840,0,0,1,553513072,1,2
841,0,0,4,31727537,4,2
842,0,0,1,935743980,1,2
843,1,5,89,174199827,83,2
844,1,3,14,4838087827,10,2
845,3,3,9,1470077737,3,0
